op,in_shapes,out_shape,D,T,H,group,backend,device,avg_ms
VIEW_3D,"{1024,256,8,4}","{4096,256,8}",1024,256,8,4,cpu-ggml,host,0.001040
VIEW_3D,"{1024,256,8,8}","{8192,256,8}",1024,256,8,8,cpu-ggml,host,0.001080
VIEW_3D,"{1024,256,16,1}","{1024,256,16}",1024,256,16,1,cpu-ggml,host,0.001031
VIEW_3D,"{1024,256,16,2}","{2048,256,16}",1024,256,16,2,cpu-ggml,host,0.001039
VIEW_3D,"{1024,256,16,4}","{4096,256,16}",1024,256,16,4,cpu-ggml,host,0.001065
VIEW_3D,"{1024,256,16,8}","{8192,256,16}",1024,256,16,8,cpu-ggml,host,0.001118
VIEW_3D,"{1024,1024,2,1}","{1024,1024,2}",1024,1024,2,1,cpu-ggml,host,0.001648
VIEW_3D,"{1024,1024,2,2}","{2048,1024,2}",1024,1024,2,2,cpu-ggml,host,0.001069
VIEW_3D,"{1024,1024,2,4}","{4096,1024,2}",1024,1024,2,4,cpu-ggml,host,0.001089
VIEW_3D,"{1024,1024,2,8}","{8192,1024,2}",1024,1024,2,8,cpu-ggml,host,0.001036
VIEW_3D,"{1024,1024,4,1}","{1024,1024,4}",1024,1024,4,1,cpu-ggml,host,0.001038
VIEW_3D,"{1024,1024,4,2}","{2048,1024,4}",1024,1024,4,2,cpu-ggml,host,0.001043
VIEW_3D,"{1024,1024,4,4}","{4096,1024,4}",1024,1024,4,4,cpu-ggml,host,0.001002
VIEW_3D,"{1024,1024,4,8}","{8192,1024,4}",1024,1024,4,8,cpu-ggml,host,0.001025
VIEW_3D,"{1024,1024,8,1}","{1024,1024,8}",1024,1024,8,1,cpu-ggml,host,0.001063
VIEW_3D,"{1024,1024,8,2}","{2048,1024,8}",1024,1024,8,2,cpu-ggml,host,0.001278
VIEW_3D,"{1024,1024,8,4}","{4096,1024,8}",1024,1024,8,4,cpu-ggml,host,0.001981
VIEW_3D,"{1024,1024,8,8}","{8192,1024,8}",1024,1024,8,8,cpu-ggml,host,0.004650
VIEW_3D,"{1024,1024,16,1}","{1024,1024,16}",1024,1024,16,1,cpu-ggml,host,0.001071
VIEW_3D,"{1024,1024,16,2}","{2048,1024,16}",1024,1024,16,2,cpu-ggml,host,0.001073
VIEW_3D,"{1024,1024,16,4}","{4096,1024,16}",1024,1024,16,4,cpu-ggml,host,0.001085
VIEW_3D,"{1024,1024,16,8}","{8192,1024,16}",1024,1024,16,8,cpu-ggml,host,0.002452
